version,S1,S2,S3,S4
Thunderbird 139,0.0,0.21052631578947367,0.631578947368421,0.15789473684210525
Thunderbird 140,0.11764705882352941,0.17647058823529413,0.4117647058823529,0.29411764705882354
Thunderbird 141,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667
Thunderbird 142,0.0,0.0,0.8,0.2
Thunderbird 143,0.0,0.0,0.5,0.5
Thunderbird 78,0.0,0.0,1.0,0.0
Thunderbird 81,0.0,1.0,0.0,0.0
Thunderbird 82,1.0,0.0,0.0,0.0
Thunderbird 83,0.0,1.0,0.0,0.0
Thunderbird 84,0.5,0.5,0.0,0.0
Thunderbird 86,0.25,0.5,0.0,0.25
Thunderbird 87,0.0,0.5,0.0,0.5
Thunderbird 89,0.5,0.5,0.0,0.0
Thunderbird 90,0.3333333333333333,0.0,0.6666666666666666,0.0
Thunderbird 91,0.21739130434782608,0.391304347826087,0.21739130434782608,0.17391304347826086
Thunderbird 92,0.0,0.0,1.0,0.0
Thunderbird 93,0.0,1.0,0.0,0.0
Thunderbird 96,0.0,0.6666666666666666,0.0,0.3333333333333333
Thunderbird 97,0.0,0.0,0.5,0.5
Thunderbird 98,0.25,0.5,0.25,0.0
Trunk,0.060663095410453165,0.08266975532068915,0.7977414217460548,0.05892572752280295
Version 2,0.0,0.0,1.0,0.0
Version 3,0.013307984790874524,0.0076045627376425855,0.9752851711026616,0.0038022813688212928
